,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,Job Title_Cntrl Office Security Officer,Job Title_K-8 Counseling Specialist
199,2012,53061,0,0,0,4,7,0,11,10,0,0,0,1,0,0,0,5,6,6,609692,SIMEON HS,Neal F Simeon Career Academy High School,1529,1,0.0007,136,0.0889,1418,0.9274,0,0
200,2013,53061,0,0,0,2,4,0,6,6,0,0,0,0,0,0,0,1,1,1,609692,SIMEON HS,Neal F Simeon Career Academy High School,1467,2,0.001363326516701,133,0.0906612133606,1357,0.925017041581459,0,0
201,2014,53061,0,0,0,2,4,0,6,6,0,0,0,0,0,0,0,1,1,1,609692,SIMEON HS,Neal F Simeon Career Academy High School,1402,0,0,116,0.0827,1296,0.9244,0,0
202,2010,53091,0,0,0,13,0,0,13,12,0,0,0,2,0,0,0,0,2,2,609704,FARRAGUT HS,Farragut HS,1598,246,0.153942428035044,279,0.17459324155194,1572,0.983729662077597,0,0
203,2011,53091,0,0,0,11,0,0,11,11,0,0,0,2,0,0,0,7,9,9,609704,FARRAGUT HS,David G Farragut Career Academy High School,1453,211,0.1452,256,0.1762,1436,0.9883,0,0
204,2012,53091,0,0,0,6,11,0,17,16,0,0,0,2,0,0,0,4,6,5,609704,FARRAGUT HS,David G Farragut Career Academy High School,1277,223,0.1746,235,0.184,1260,0.9867,0,0
205,2013,53091,0,0,0,4,8,0,12,12,0,0,0,2,0,0,0,3,5,5,609704,FARRAGUT HS,David G Farragut Career Academy High School,1100,273,0.248181818181818,218,0.198181818181818,1086,0.987272727272727,0,0
206,2014,53091,0,0,0,4,8,0,12,11,0,0,0,2,0,0,0,3,5,5,609704,FARRAGUT HS,David G Farragut Career Academy High School,987,267,0.2705,197,0.1996,978,0.9909,0,0
207,2010,53101,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,0,4,4,609756,CURIE HS,Curie HS,3457,289,0.083598495805612,340,0.098351171536014,2807,0.811975701475267,0,0
208,2011,53101,0,0,0,6,0,0,6,6,0,0,0,4,0,0,0,11,15,15,609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,3323,251,0.0755,331,0.0996,3146,0.9467,0,0
209,2012,53101,0,0,0,6,5,0,11,11,0,0,0,4,0,0,0,9,13,10,609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,3060,228,0.0745,330,0.1078,2884,0.9425,0,0
210,2013,53101,0,0,0,6,5,0,11,11,0,0,0,4,0,0,0,8,12,12,609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,2982,230,0.077129443326627,310,0.103957075788062,2825,0.947350771294433,0,0
211,2014,53101,0,0,0,8,5,0,13,13,0,0,0,5,0,0,0,9,14,14,609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,3060,277,0.0905,323,0.1056,2914,0.9523,0,0
212,2010,53111,0,0,0,6,0,0,6,6,0,0,0,2,0,0,0,0,2,2,609722,MANLEY HS,Manley HS,650,0,0,156,0.24,522,0.803076923076923,0,0
213,2011,53111,0,0,0,5,0,0,5,5,0,0,0,2,0,0,0,2,4,4,609722,MANLEY HS,Manley Career Academy High School,599,0,0,155,0.2588,580,0.9683,0,0
214,2012,53111,0,0,0,3,1,0,4,3,0,0,0,1,0,0,0,2,3,3,609722,MANLEY HS,Manley Career Academy High School,476,0,0,130,0.2731,439,0.9223,0,0
215,2013,53111,0,0,0,3,1,0,4,4,0,0,0,1,0,0,0,1,2,1,609722,MANLEY HS,Manley Career Academy High School,450,0,0,122,0.271111111111111,344,0.764444444444445,0,0
216,2014,53111,0,0,0,3,1,0,4,4,0,0,0,1,0,0,0,1,2,2,609722,MANLEY HS,Manley Career Academy High School,356,1,0.0028,105,0.2949,308,0.8652,0,0
217,2010,53121,0,0,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,609735,TILDEN HS,Tilden HS,467,38,0.081370449678801,114,0.244111349036402,388,0.830835117773019,0,0
218,2011,53121,0,0,0,7,0,0,7,5,0,0,0,0,0,0,0,2,2,1,609735,TILDEN HS,Edward Tilden Career Community Academy HS,463,27,0.0583,97,0.2095,452,0.9762,0,0
219,2012,53121,0,0,0,13,1,0,14,0,0,0,0,0,0,0,0,2,2,0,609735,TILDEN HS,Edward Tilden Career Community Academy HS,400,18,0.045,70,0.175,389,0.9725,0,0
220,2013,53121,0,0,0,10,2,0,12,12,0,0,0,0,0,0,0,2,2,2,609735,TILDEN HS,Edward Tilden Career Community Academy HS,345,9,0.026086956521739,89,0.257971014492754,337,0.976811594202898,0,0
221,2014,53121,0,0,0,8,2,0,10,6,0,0,0,0,0,0,0,2,2,1,609735,TILDEN HS,Edward Tilden Career Community Academy HS,328,13,0.0396,108,0.3293,319,0.9726,0,0
222,2010,55081,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,610297,SCHOOL OF LEADRSHP HS,Sch Of Leadership HS,272,0,0,59,0.216911764705882,257,0.944852941176471,0,0
223,2011,55081,0,0,0,5,0,0,5,4,0,0,0,2,0,0,0,3,5,5,610297,SCHOOL OF LEADRSHP HS,High School of Leadership at South Shore,731,2,0.0027,149,0.2038,702,0.9603,0,0
224,2012,55081,0,0,0,5,5,1,11,11,0,0,0,1,0,0,0,2,3,3,610297,SCHOOL OF LEADRSHP HS,High School of Leadership at South Shore,411,1,0.0024,70,0.1703,399,0.9708,0,0
225,2013,55081,0,0,0,1,4,0,5,5,0,0,0,0,0,0,0,1,1,1,610297,SCHOOL OF LEADRSHP HS,High School of Leadership at South Shore,134,0,0,25,0.186567164179104,133,0.992537313432836,0,0
226,2010,55091,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610296,SCHOOL OF TECH HS,Sch Of Technology HS,289,2,0.006920415224914,46,0.15916955017301,264,0.913494809688581,0,0
227,2010,66112,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,400077,U OF C - WOODLAWN HS,U Of C Chrt - Woodlawn,537,0,0,72,0.134078212290503,447,0.832402234636871,0,0
228,2011,66112,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,400077,U OF C - WOODLAWN HS,University of Chicago Charter - Woodlawn,517,0,0,70,0.1354,450,0.8704,0,0
229,2012,66112,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,400077,U OF C - WOODLAWN HS,University of Chicago Charter - Woodlawn,607,1,0.0016,91,0.1499,515,0.8484,0,0
230,2013,66112,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,400077,U OF C - WOODLAWN HS,University of Chicago Charter - Woodlawn,634,0,0,100,0.157728706624606,533,0.840694006309148,0,0
231,2014,66112,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,400077,U OF C - WOODLAWN HS,University of Chicago Charter - Woodlawn,650,1,0.0015,106,0.1631,554,0.8523,0,0
232,2010,67021,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,610387,SECOND CHANCE ALT HS,Peace & Education Alt HS,113,4,0.035398230088496,22,0.194690265486726,112,0.991150442477876,0,0
233,2010,70020,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,609680,PAYTON HS,Payton CPHS,892,3,0.003363228699552,58,0.065022421524664,278,0.311659192825112,0,0
234,2011,70020,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,4,4,4,609680,PAYTON HS,Walter Payton College Preparatory High School,885,4,0.0045,61,0.0689,304,0.3435,0,0
235,2012,70020,0,0,0,5,1,0,6,5,0,0,0,0,0,0,0,4,4,4,609680,PAYTON HS,Walter Payton College Preparatory High School,859,5,0.0058,58,0.0675,290,0.3376,0,0
236,2013,70020,0,0,0,4,1,0,5,5,0,0,0,0,0,0,0,4,4,4,609680,PAYTON HS,Walter Payton College Preparatory High School,819,6,0.007326007326007,52,0.063492063492064,253,0.308913308913309,0,0
