,Unnamed: 0_x,Unnamed: 0.1,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,Unit_Number,Notes,Unnamed: 26,Unit Number,Unnamed: 0_y,Unit,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P
41,53,2732,2014,46031,0,0,0,7,0,0,7,5,0,0,0,2,0,0,0,4,6,4,609695,AMUNDSEN HS,46031,,1210.0,609695,527,609695,Roald Amundsen High School,1132.0,138.0,0.1219,159.0,0.1405,1056.0,0.9329
42,55,646,2010,46041,0,0,0,11,0,0,11,11,0,0,0,4,0,0,0,0,4,4,609698,BOGAN HS,46041,,1230.0,1230,26,1230,Bogan Tech HS,1786.0,94.0,0.05263157894736842,272.0,0.1522956326987682,1601.0,0.8964165733482643
43,56,1157,2011,46041,0,0,0,11,0,0,11,11,0,0,0,4,0,0,0,5,9,9,609698,BOGAN HS,46041,,1230.0,609698,665,609698,William J Bogan High School,1658.0,74.0,0.0446,257.0,0.155,1575.0,0.9499
44,57,1702,2012,46041,0,0,0,11,3,0,14,14,0,0,0,3,0,0,0,6,9,8,609698,BOGAN HS,46041,,1230.0,609698,663,609698,William J Bogan High School,1409.0,69.0,0.049,223.0,0.1583,1332.0,0.9454
45,58,2218,2013,46041,0,0,0,7,3,0,10,10,0,0,0,0,0,0,0,3,3,3,609698,BOGAN HS,46041,,1230.0,609698,633,609698,William J Bogan High School,1115.0,83.0,0.07443946188340808,204.0,0.18295964125560535,561.0,0.5031390134529148
46,59,2219,2013,46041,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609698,BOGAN HS,46041,,1230.0,609698,633,609698,William J Bogan High School,1115.0,83.0,0.07443946188340808,204.0,0.18295964125560535,561.0,0.5031390134529148
47,60,2733,2014,46041,0,0,0,8,3,0,11,9,0,0,0,0,0,0,0,3,3,2,609698,BOGAN HS,46041,,1230.0,609698,642,609698,William J Bogan High School,952.0,76.0,0.0798,187.0,0.1964,886.0,0.9307
48,62,648,2010,46081,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,609702,CRANE HS,46081,,1270.0,1270,27,1270,Crane Tech HS,513.0,1.0,0.0019493177387914231,120.0,0.23391812865497075,419.0,0.8167641325536062
49,63,1159,2011,46081,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,2,2,2,609702,CRANE HS,46081,,1270.0,609702,539,609702,Richard T Crane Technical Preparatory HS,476.0,1.0,0.0021,110.0,0.2311,457.0,0.9601
50,64,1704,2012,46081,0,0,0,4,3,0,7,7,0,0,0,0,0,0,0,2,2,2,609702,CRANE HS,46081,,1270.0,609702,538,609702,Richard T Crane Technical Preparatory HS,387.0,0.0,0.0,75.0,0.1938,343.0,0.8863
51,65,2221,2013,46081,0,0,0,2,3,0,5,5,0,0,0,0,0,0,0,1,1,1,609702,CRANE HS,46081,,1270.0,609702,514,609702,Richard T Crane Technical Preparatory HS,162.0,0.0,0.0,41.0,0.25308641975308643,150.0,0.925925925925926
52,66,2735,2014,46081,0,0,0,2,3,0,5,5,0,0,0,0,0,0,0,1,1,1,609702,CRANE HS,46081,,1270.0,609702,525,609702,Richard T Crane Technical Preparatory HS,57.0,0.0,0.0,10.0,0.1754,56.0,0.9825
53,68,652,2010,46131,0,0,0,5,0,0,5,5,0,0,0,2,0,0,0,0,2,2,609708,FOREMAN HS,46131,,1330.0,1330,31,1330,Foreman HS,1831.0,217.0,0.11851447296559255,268.0,0.14636810486073185,1555.0,0.8492626979792464
54,69,1163,2011,46131,0,0,0,5,0,0,5,5,0,0,0,2,0,0,0,5,7,6,609708,FOREMAN HS,46131,,1330.0,609708,174,609708,Edwin G Foreman High School,1715.0,245.0,0.1429,261.0,0.1522,1501.0,0.8752
55,70,1708,2012,46131,0,0,0,5,7,0,12,12,0,0,0,3,0,0,0,5,8,8,609708,FOREMAN HS,46131,,1330.0,609708,176,609708,Edwin G Foreman High School,1572.0,243.0,0.1546,268.0,0.1705,1277.0,0.8123
56,71,2226,2013,46131,0,0,0,2,5,0,7,7,0,0,0,3,0,0,0,4,7,7,609708,FOREMAN HS,46131,,1330.0,609708,168,609708,Edwin G Foreman High School,1507.0,263.0,0.1745189117451891,240.0,0.15925680159256805,1417.0,0.940278699402787
57,72,2227,2013,46131,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,609708,FOREMAN HS,46131,,1330.0,609708,168,609708,Edwin G Foreman High School,1507.0,263.0,0.1745189117451891,240.0,0.15925680159256805,1417.0,0.940278699402787
58,73,2739,2014,46131,0,0,0,2,7,0,9,8,0,0,0,4,0,0,0,4,8,6,609708,FOREMAN HS,46131,,1330.0,609708,167,609708,Edwin G Foreman High School,1276.0,229.0,0.1795,221.0,0.1732,1229.0,0.9632
59,75,660,2010,46221,0,0,0,18,0,0,18,18,0,0,0,1,0,0,0,0,1,1,609720,LANE TECH HS,46221,,1440.0,1440,41,1440,Lane Tech HS,4165.0,27.0,0.006482593037214886,184.0,0.04417767106842737,2459.0,0.5903961584633853
60,76,1171,2011,46221,0,0,0,15,0,0,15,15,0,0,0,1,0,0,0,14,15,14,609720,LANE TECH HS,46221,,1440.0,609720,10,609720,Albert G Lane Technical High School,4366.0,21.0,0.0048,177.0,0.0405,2776.0,0.6358
61,77,1716,2012,46221,0,0,0,15,0,0,15,15,0,0,0,1,0,0,0,14,15,14,609720,LANE TECH HS,46221,,1440.0,609720,11,609720,Albert G Lane Technical High School,4270.0,14.0,0.0033,182.0,0.0426,2623.0,0.6143
62,78,2235,2013,46221,0,0,0,8,1,0,9,8,0,0,0,0,0,0,0,8,8,8,609720,LANE TECH HS,46221,,1440.0,609720,10,609720,Albert G Lane Technical High School,4120.0,25.0,0.006067961165048544,163.0,0.039563106796116514,2413.0,0.5856796116504854
63,79,2747,2014,46221,0,0,0,7,1,0,8,8,0,0,0,0,0,0,0,8,8,5,609720,LANE TECH HS,46221,,1440.0,609720,10,609720,Albert G Lane Technical High School,4071.0,16.0,0.0039,186.0,0.0457,2384.0,0.5856
64,81,661,2010,46241,0,0,0,6,0,0,6,6,0,0,0,1,0,0,0,0,1,1,609724,MATHER HS,46241,,1480.0,1480,44,1480,Mather HS,1603.0,259.0,0.1615720524017467,208.0,0.12975670617592014,1346.0,0.8396756082345602
65,82,1172,2011,46241,0,0,0,7,0,0,7,7,0,0,0,1,0,0,0,6,7,7,609724,MATHER HS,46241,,1480.0,609724,584,609724,Stephen T Mather High School,1656.0,283.0,0.1709,199.0,0.1202,1432.0,0.8647
66,83,1717,2012,46241,0,0,0,7,0,0,7,6,0,0,0,1,0,0,0,6,7,6,609724,MATHER HS,46241,,1480.0,609724,582,609724,Stephen T Mather High School,1710.0,310.0,0.1813,193.0,0.1129,1498.0,0.8759999999999999
67,84,2236,2013,46241,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,6,6,6,609724,MATHER HS,46241,,1480.0,609724,555,609724,Stephen T Mather High School,1623.0,310.0,0.19100431300061613,187.0,0.11521873074553295,1432.0,0.8823166974738139
68,85,2748,2014,46241,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,6,6,6,609724,MATHER HS,46241,,1480.0,609724,565,609724,Stephen T Mather High School,1579.0,333.0,0.2109,170.0,0.1077,1437.0,0.9101
69,87,664,2010,46271,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,609728,ROOSEVELT HS,46271,,1520.0,1520,48,1520,Roosevelt HS,1430.0,306.0,0.21398601398601397,243.0,0.16993006993006993,1135.0,0.7937062937062938
70,88,1175,2011,46271,0,0,0,6,0,0,6,5,0,0,0,0,0,0,0,3,3,3,609728,ROOSEVELT HS,46271,,1520.0,609728,592,609728,Theodore Roosevelt High School,1497.0,320.0,0.2138,241.0,0.161,1450.0,0.9686
71,89,1720,2012,46271,0,0,0,8,0,0,8,8,0,0,0,0,0,0,0,5,5,5,609728,ROOSEVELT HS,46271,,1520.0,609728,591,609728,Theodore Roosevelt High School,1504.0,311.0,0.2068,233.0,0.1549,1463.0,0.9727
72,90,2240,2013,46271,0,0,0,9,0,0,9,9,0,0,0,0,0,0,0,5,5,5,609728,ROOSEVELT HS,46271,,1520.0,609728,564,609728,Theodore Roosevelt High School,1437.0,303.0,0.21085594989561587,227.0,0.1579679888656924,1398.0,0.9728601252609604
73,91,2751,2014,46271,0,0,0,9,0,0,9,8,0,0,0,0,0,0,0,5,5,5,609728,ROOSEVELT HS,46271,,1520.0,609728,574,609728,Theodore Roosevelt High School,1357.0,293.0,0.2159,229.0,0.1688,1311.0,0.9661
74,93,666,2010,46291,0,0,0,3,0,0,3,3,0,0,0,2,0,0,0,0,2,2,609732,STEINMETZ HS,46291,,1560.0,1560,51,1560,Steinmetz HS,1889.0,175.0,0.092641609317099,257.0,0.13605082053996825,1662.0,0.8798305982001059
75,94,1177,2011,46291,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,6,9,9,609732,STEINMETZ HS,46291,,1560.0,609732,91,609732,Charles P Steinmetz Academic Centre High School,1890.0,192.0,0.1016,288.0,0.1524,1825.0,0.9656
76,95,1722,2012,46291,0,0,0,3,12,0,15,15,0,0,0,4,0,0,0,6,10,9,609732,STEINMETZ HS,46291,,1560.0,609732,95,609732,Charles P Steinmetz College Preparatory HS,1823.0,202.0,0.1108,271.0,0.1487,1721.0,0.9440000000000001
77,96,2243,2013,46291,0,0,0,4,10,0,14,14,0,0,0,1,0,0,0,6,7,7,609732,STEINMETZ HS,46291,,1560.0,609732,86,609732,Charles P Steinmetz College Preparatory HS,1809.0,209.0,0.11553344389165285,264.0,0.14593698175787728,1689.0,0.933665008291874
78,97,2753,2014,46291,0,0,0,3,10,0,13,13,0,0,0,1,0,0,0,6,7,6,609732,STEINMETZ HS,46291,,1560.0,609732,85,609732,Charles P Steinmetz College Preparatory HS,1709.0,244.0,0.1428,265.0,0.1551,1599.0,0.9356
79,99,667,2010,46301,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,0,3,3,609733,SULLIVAN HS,46301,,1570.0,1570,52,1570,Sullivan HS,764.0,192.0,0.2513089005235602,147.0,0.1924083769633508,722.0,0.9450261780104712
80,100,1178,2011,46301,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,4,4,609733,SULLIVAN HS,46301,,1570.0,609733,553,609733,Roger C Sullivan High School,827.0,215.0,0.26,157.0,0.1898,770.0,0.9311
81,101,1723,2012,46301,0,0,0,4,1,0,5,2,0,0,0,2,0,0,0,3,5,4,609733,SULLIVAN HS,46301,,1570.0,609733,551,609733,Roger C Sullivan High School,812.0,222.0,0.2734,153.0,0.1884,768.0,0.9458
82,102,2244,2013,46301,0,0,0,3,1,0,4,3,0,0,0,0,0,0,0,3,3,2,609733,SULLIVAN HS,46301,,1570.0,609733,525,609733,Roger C Sullivan High School,708.0,171.0,0.24152542372881355,163.0,0.23022598870056496,668.0,0.9435028248587571
83,103,2245,2013,46301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609733,SULLIVAN HS,46301,,1570.0,609733,525,609733,Roger C Sullivan High School,708.0,171.0,0.24152542372881355,163.0,0.23022598870056496,668.0,0.9435028248587571
84,104,2754,2014,46301,0,0,0,4,1,0,5,4,0,0,0,0,0,0,0,2,2,2,609733,SULLIVAN HS,46301,,1570.0,609733,536,609733,Roger C Sullivan High School,574.0,177.0,0.3084,123.0,0.2143,544.0,0.9477
85,106,670,2010,46331,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,609739,WASHINGTON HS,46331,,1630.0,1630,58,1630,Washington G. HS,1442.0,106.0,0.07350901525658808,219.0,0.15187239944521494,1210.0,0.8391123439667129
86,107,1181,2011,46331,0,0,0,8,0,0,8,5,0,0,0,1,0,0,0,5,6,6,609739,WASHINGTON HS,46331,,1630.0,609739,245,609739,George Washington High School,1525.0,108.0,0.0708,222.0,0.1456,1418.0,0.9298
87,108,1726,2012,46331,0,0,0,5,1,0,6,5,0,0,0,0,0,0,0,5,5,4,609739,WASHINGTON HS,46331,,1630.0,609739,245,609739,George Washington High School,1562.0,121.0,0.0775,222.0,0.1421,1447.0,0.9264
88,109,2248,2013,46331,0,0,0,7,3,0,10,9,0,0,0,0,0,0,0,3,3,2,609739,WASHINGTON HS,46331,,1630.0,609739,230,609739,George Washington High School,1563.0,117.0,0.07485604606525911,216.0,0.1381957773512476,1409.0,0.9014715291106846
89,110,2757,2014,46331,0,0,0,7,3,0,10,8,0,0,0,0,0,0,0,4,4,4,609739,WASHINGTON HS,46331,,1630.0,609739,231,609739,George Washington High School,1474.0,109.0,0.0739,215.0,0.1459,1367.0,0.9274
90,112,671,2010,46341,0,0,0,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,609741,HUBBARD HS,46341,,1670.0,1670,60,1670,Hubbard HS,1689.0,121.0,0.07164002368265246,155.0,0.09177027827116636,1572.0,0.9307282415630552
91,113,1182,2011,46341,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,5,5,5,609741,HUBBARD HS,46341,,1670.0,609741,253,609741,Gurdon S Hubbard High School,1672.0,156.0,0.0933,176.0,0.1053,1617.0,0.9671
92,114,1727,2012,46341,0,0,0,10,1,0,11,9,0,0,0,0,0,0,0,5,5,3,609741,HUBBARD HS,46341,,1670.0,609741,253,609741,Gurdon S Hubbard High School,1639.0,200.0,0.122,183.0,0.1117,1611.0,0.9829
93,115,2249,2013,46341,0,0,0,11,1,0,12,11,0,0,0,0,0,0,0,5,5,5,609741,HUBBARD HS,46341,,1670.0,609741,235,609741,Gurdon S Hubbard High School,1615.0,184.0,0.11393188854489165,191.0,0.11826625386996906,1595.0,0.9876160990712074
94,116,2758,2014,46341,0,0,0,11,1,0,12,10,0,0,0,0,0,0,0,5,5,5,609741,HUBBARD HS,46341,,1670.0,609741,237,609741,Gurdon S Hubbard High School,1701.0,207.0,0.1217,209.0,0.1229,1663.0,0.9777
95,118,675,2010,46391,0,0,0,7,0,0,7,7,0,0,0,1,0,0,0,0,1,1,609761,CORLISS HS,46391,,1860.0,1860,76,1860,Corliss HS,747.0,,,155.0,0.2074966532797858,624.0,0.8353413654618473
96,119,1186,2011,46391,0,0,0,4,0,0,4,3,0,0,0,1,0,0,0,2,3,3,609761,CORLISS HS,46391,,1860.0,609761,235,609761,George H Corliss High School,622.0,1.0,0.0016,138.0,0.2219,593.0,0.9534
