,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,Unit_Number,Notes,Unnamed: 26,Unit Number,Unnamed: 0_y,Unit,School_x,Total_x,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,School Name_x,Status as of 2014,Status as of 2019,Attendance,5YR Grad Rate,School_y,Total_y,White No,White Pct,African American No,African American Pct,Native American/Alaskan No,Native American/Alaskan Pct,Asian/Pacific Islander No,Asian/Pacific Islander Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian/Pacific Islander No,Hawaiian/Pacific Islander Pct,Not Available No,Not Available Pct,School Name_y,School Year,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
20,20,28,617,2011,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609987,HENDRICKS,31121,,3930.0,3930,287,3930,Hendricks,340.0,1.0,0.002941176470588236,27.0,0.07941176470588235,332.0,0.9764705882352941,HENDRICKS,,,91.3,,Hendricks,340.0,2.0,0.6,320.0,94.1,0.0,0.0,0.0,0.0,4.0,1.2,3.0,0.9,0.0,0.0,0.0,0.0,11.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,29,1130,2012,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,595,609987,Thomas A Hendricks Elementary Community Academy,305.0,1.0,0.0033,24.0,0.0787,270.0,0.8852,HENDRICKS,,,91.7,,Hendricks,305.0,2.0,0.7,253.0,83.0,0.0,0.0,0.0,0.0,10.0,3.3,4.0,1.3,0.0,0.0,0.0,0.0,36.0,11.8,HENDRICKS,2012.0,113.0,4.0,70.0,39.0,97.0,85.8,1.0,0.9,0.33,1.0,0.3,1.0,96.0,85.0,31.81,57.0,18.9,2.43,4.0,3.5,1.33,4.0,1.3,0.0,0.0
22,22,30,1671,2013,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,594,609987,Thomas A Hendricks Elementary Community Academy,287.0,3.0,0.0105,25.0,0.0871,277.0,0.9652,HENDRICKS,,,90.7,,Hendricks,287.0,4.0,1.4,262.0,91.3,0.0,0.0,0.0,0.0,14.0,4.9,3.0,1.0,0.0,0.0,1.0,0.3,3.0,1.0,HENDRICKS,2013.0,149.0,1.0,90.0,58.0,128.0,85.9,7.0,4.7,2.47,7.0,2.5,1.0,121.0,81.2,42.68,65.0,22.9,2.17,17.0,11.4,6.0,17.0,6.0,1.0,0.35
23,23,31,2190,2014,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,567,609987,Thomas A Hendricks Elementary Community Academy,271.0,4.0,0.014760147601476013,46.0,0.16974169741697415,264.0,0.9741697416974172,HENDRICKS,,,90.3,,,271.0,1.0,0.4,247.0,91.1,0.0,0.0,0.0,0.0,17.0,6.3,2.0,0.7,1.0,0.4,0.0,0.0,3.0,1.1,HENDRICKS,2014.0,110.0,19.0,54.0,37.0,68.0,61.8,4.0,3.6,1.56,3.0,1.2,1.75,64.0,58.2,24.89,38.0,14.8,2.08,6.0,5.5,2.33,4.0,1.6,0.0,0.0
24,24,32,2706,2015,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,577,609987,Thomas A Hendricks Elementary Community Academy,262.0,6.0,0.0229,46.0,0.1756,253.0,0.9656,HENDRICKS,,,92.0,,HENDRICKS,262.0,3.0,1.1,242.0,92.4,0.0,0.0,0.0,0.0,13.0,5.0,1.0,0.4,1.0,0.4,0.0,0.0,2.0,0.8,HENDRICKS,2015.0,81.0,0.0,63.0,18.0,29.0,35.8,5.0,6.2,1.94,4.0,1.6,1.4,24.0,29.6,9.32,16.0,6.2,2.04,1.0,1.2,0.39,1.0,0.4,0.0,0.0
25,25,34,631,2011,41051,0,0,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,610244,CLARK HS,41051,,6620.0,6620,532,6620,Clark Magnet HS,942.0,2.0,0.002123142250530785,116.0,0.12314225053078555,776.0,0.8237791932059448,CLARK HS,,,79.4,86.4,Clark Magnet HS,942.0,1.0,0.1,921.0,97.8,2.0,0.2,0.0,0.0,16.0,1.7,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,35,1144,2012,41051,0,0,0,6,0,0,6,6,0,0,0,2,0,0,0,4,6,5,610244,CLARK HS,41051,,6620.0,610244,437,610244,Michele Clark Academic Prep Magnet High School,733.0,0.0,0.0,93.0,0.1269,693.0,0.9454,CLARK HS,,,89.6,75.1,Clark Magnet HS,733.0,0.0,0.0,719.0,98.1,1.0,0.1,0.0,0.0,12.0,1.6,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,CLARK HS,2012.0,455.0,224.0,195.0,36.0,455.0,100.0,75.0,16.5,10.68,66.0,9.4,1.53,380.0,83.5,54.13,219.0,31.2,4.39,11.0,2.4,1.57,11.0,1.6,4.0,0.57
27,27,36,1688,2013,41051,0,0,0,8,1,0,9,6,0,0,0,2,0,0,0,2,4,4,610244,CLARK HS,41051,,6620.0,610244,439,610244,Michele Clark Academic Prep Magnet High School,574.0,1.0,0.0017,75.0,0.1307,555.0,0.9669,CLARK HS,,,90.2,79.1,Clark Magnet HS,574.0,0.0,0.0,564.0,98.3,1.0,0.2,0.0,0.0,8.0,1.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,CLARK HS,2013.0,255.0,64.0,158.0,33.0,254.0,99.6,7.0,2.7,1.29,7.0,1.3,1.86,247.0,96.9,45.37,148.0,27.2,4.02,3.0,1.2,0.55,3.0,0.6,0.0,0.0
28,28,37,2207,2014,41051,0,0,0,8,1,0,9,9,0,0,0,1,0,0,0,1,2,2,610244,CLARK HS,41051,,6620.0,610244,415,610244,Michele Clark Academic Prep Magnet High School,499.0,0.0,0.0,65.0,0.13026052104208416,490.0,0.9819639278557114,CLARK HS,,,91.5,79.1,,499.0,0.0,0.0,492.0,98.6,1.0,0.2,0.0,0.0,5.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,CLARK HS,2014.0,214.0,32.0,164.0,18.0,214.0,100.0,5.0,2.3,1.02,5.0,1.0,2.4,209.0,97.7,42.77,130.0,26.6,3.54,2.0,0.9,0.41,2.0,0.4,1.0,0.2
29,29,38,2722,2015,41051,0,0,0,7,2,0,9,8,0,0,0,0,0,0,0,1,1,0,610244,CLARK HS,41051,,6620.0,610244,422,610244,Michele Clark Academic Prep Magnet High School,511.0,0.0,0.0,63.0,0.1233,506.0,0.9902,CLARK HS,,,90.8,79.5,CLARK HS,511.0,0.0,0.0,507.0,99.2,0.0,0.0,0.0,0.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLARK HS,2015.0,358.0,2.0,253.0,103.0,356.0,99.4,64.0,17.9,13.33,63.0,13.1,1.08,292.0,81.6,60.84,172.0,35.8,3.83,9.0,2.5,1.88,9.0,1.9,0.0,0.0
